ax_lin,ay_lin,az_lin
-7.336400,-7.669400,11.629400
-4.754600,-0.765500,11.571200
-3.539300,-0.428000,-5.884700
-3.118900,8.224600,-18.380500
-0.960900,1.973300,-20.261800
0.533300,-6.682300,-18.177800
2.513300,-11.531700,-0.895600
0.296400,-9.310300,10.421200
-4.907300,-8.722800,7.897900
0.324200,-11.210000,11.739800
-6.783600,-4.154900,11.681100
1.209700,-6.238400,11.622700
-2.280400,3.363100,-7.456300
2.692500,-2.072700,-17.120400
5.815100,1.207200,-20.313900
6.937100,-5.287900,-16.158800
5.739400,-1.779800,1.365900
4.819500,-11.253100,10.874600
1.335200,-4.176300,8.306100
2.794100,-7.842000,11.767100
0.928500,1.307600,11.708200
1.643600,-2.740600,11.649700
0.200700,0.935800,-9.319200
1.696300,-0.894300,-17.823000
1.709300,-0.794500,-20.517200
-2.693600,-2.482500,-12.131200
-1.948600,-11.113400,5.421000
-2.201000,-6.856500,10.260100
-2.940600,-9.045600,8.242800
-1.624800,-8.492800,11.770800
-0.205900,-2.321100,11.711900
2.345000,3.335900,5.374600
2.657400,5.330500,-14.646000
5.058100,-0.713300,-18.061500
5.905000,-4.265200,-19.892000
5.046200,-3.984200,-4.731700
5.168700,-7.979700,9.506900
-0.900500,-9.031200,8.432200
-1.301100,-7.043900,11.823400
-4.530800,-3.348300,11.764300
0.462900,-1.048600,11.705500
-3.240300,5.521900,-8.279400
-2.294700,8.835400,-16.936200
-1.399100,1.434700,-20.538100
-0.119600,-5.283100,-12.688100
2.454700,-8.173500,4.809700
-2.759800,-1.519700,9.868700
-1.911900,-10.784600,8.835200
-2.555300,-8.585900,11.821600
-1.637000,-0.280900,11.762500
2.520100,3.471400,-0.923500
3.227200,6.921300,-15.672300
4.438300,2.065800,-19.368700
4.411300,-6.673600,-17.713300
5.657100,-8.286900,0.364900
3.345800,-5.912500,10.583900
-0.950800,-9.717200,7.549800
-3.374400,-5.310000,11.879600
-3.505300,-5.455100,11.820200
1.469000,-1.688800,11.761100
-1.073900,11.088000,-11.300600
1.643300,2.811100,-17.635500
1.854400,-5.627100,-20.912100
3.186700,-4.590900,-13.439200
2.231900,-4.923000,3.671500
0.638400,-8.859000,10.475800
-1.895600,-5.264000,7.623400
-2.057700,-8.933800,11.909900
-2.488300,-0.927400,11.850300
2.788300,4.136500,11.791100
1.794900,4.652000,-10.617900
4.886300,6.818700,-16.989500
5.438600,-1.131800,-20.362300
6.486100,-4.426700,-10.680700
3.660800,-3.985100,7.040600
-2.686900,-8.233200,9.436100
-2.015700,-6.705100,10.554300
-1.903200,-6.866900,11.890200
-4.574600,-2.676600,11.830800
-10.225800,1.068700,-6.400900
-9.447800,1.084800,-16.423000
-8.757100,0.645600,-20.658900
-6.785500,-5.272300,-8.433100
-8.727100,-10.302800,7.635100
-10.275300,-7.146200,7.692200
-10.486100,-5.663900,11.954500
-9.251700,-1.989500,11.894800
-6.617400,5.474600,7.527400
-3.998700,2.744800,-13.442900
-6.797900,17.031700,-18.244300
-5.479400,-8.194500,-16.556400
-1.848900,-10.262600,2.481100
-0.307300,-8.805200,10.189700
