Time,X,Y,Z
1.604,0.090162,-0.077221,0.657308
1.608,0.123467,-0.063432,0.736276
1.612,0.125795,-0.056943,0.688296
1.616,0.073858,-0.058011,0.709737
1.62,0.081743,-0.042593,0.735937
1.624,0.084746,-0.055627,0.680738
1.6280000000000001,0.094649,-0.073349,0.783619
1.6320000000000001,0.0717,-0.032084,0.690016
1.6360000000000001,0.098595,-0.015411,0.730455
1.6400000000000001,0.075356,0.003351,0.775655
1.6440000000000001,0.059542,-0.013531,0.710718
1.6480000000000001,0.081746,0.01715,0.698431
1.6520000000000001,0.056249,0.023816,0.734041
1.6560000000000001,0.08048,0.073019,0.680965
1.6600000000000001,0.073672,0.04424,0.70465
1.6640000000000001,0.083548,0.053828,0.754683
1.668,0.053065,0.056752,0.615574
1.672,0.112539,0.040926,0.727975
1.676,0.074316,0.081895,0.710974
1.68,0.043994,0.026441,0.715733
1.684,0.054141,0.056738,0.672537
1.688,0.104204,0.021184,0.69413
1.692,0.080236,0.03822,0.70853
1.696,0.120205,0.03651,0.699017
1.7,0.102976,-0.009733,0.672848
1.704,0.088399,-0.031274,0.677903
1.708,0.10707,-0.001008,0.754706
1.712,0.05246,-0.060707,0.711887
1.716,0.093009,-0.058396,0.752856
1.72,0.099766,-0.046553,0.681252
1.724,0.118236,-0.096311,0.712708
1.728,0.115021,-0.086757,0.775234
1.732,0.10039,-0.091187,0.701295
1.736,0.08342,-0.062936,0.737432
1.74,0.106811,-0.018964,0.730337
1.744,0.110954,-0.023016,0.728018
1.748,0.129098,-0.024666,0.744857
1.752,0.081186,-0.035366,0.70668
1.756,0.100039,-0.012941,0.658874
1.76,0.11849,-0.00978,0.706854
1.764,0.080271,-0.030147,0.709384
1.768,0.113269,-0.021763,0.692749
1.772,0.091313,0.000409,0.716764
1.776,0.093554,-0.067079,0.645137
1.78,0.08634,-0.034564,0.736303
1.784,0.121483,-0.044988,0.650251
1.788,0.07374,-0.02742,0.75333
1.792,0.1469,-0.024461,0.698296
1.796,0.065762,-0.054642,0.779839
1.8,0.063914,-0.096234,0.758463
1.804,0.113842,-0.089981,0.698751
1.808,0.026562,-0.048751,0.734749
1.812,0.131056,-0.02247,0.761078
1.816,0.059693,-0.027571,0.808948
1.82,0.133056,-0.01355,0.655618
1.824,0.146414,-0.282394,0.555496
1.828,-0.098384,-0.369361,0.596998
1.832,0.142745,-0.094911,0.582783
1.836,-0.003973,-0.066341,0.851024
1.84,0.094137,0.028701,0.659334
1.844,0.133909,-0.024444,0.673641
1.848,0.111971,0.027303,0.76454
1.852,0.123291,0.009941,0.704588
1.856,0.110944,0.023395,0.733218
1.86,0.084659,-0.005515,0.706855
1.864,0.134356,-0.019615,0.690115
1.868,0.11717,-0.005566,0.730788
1.872,0.135528,0.001504,0.694842
1.8760000000000001,0.104178,-0.036307,0.726032
1.8800000000000001,0.096854,-0.007875,0.800242
1.8840000000000001,0.122518,-0.008079,0.745126
1.8880000000000001,0.110103,0.012775,0.747436
1.8920000000000001,0.130923,-0.046396,0.728349
1.8960000000000001,0.113825,-0.020243,0.706768
1.9000000000000001,0.115915,-0.053286,0.675686
1.9040000000000001,0.080193,-0.031585,0.73079
1.9080000000000001,0.099262,-0.036399,0.716417
1.9120000000000001,0.101364,-0.040805,0.714063
1.9160000000000001,0.098777,-0.016905,0.70208
1.92,0.061105,-0.017002,0.738001
1.924,0.068689,-0.010351,0.759498
1.928,0.125456,-0.043498,0.759534
1.932,0.08277,0.027512,0.606161
1.936,0.06881,0.054838,0.79521
1.94,0.092874,-0.019492,0.615575
1.944,0.029399,-0.04307,0.771306
1.948,0.124579,-0.037779,0.618076
1.952,0.053448,-0.021032,0.778546
1.956,0.185697,-0.0044,0.682712
1.96,0.064203,-0.054172,0.728284
1.964,0.083616,0.000602,0.654006
1.968,0.074327,0.009277,0.749705
1.972,0.093406,-0.052434,0.713844
1.976,0.095677,0.016423,0.713774
1.98,0.119216,0.006401,0.673003
1.984,0.123388,-0.024683,0.716113
1.988,0.127552,-0.076365,0.677902
1.992,0.068108,-0.028094,0.651604
1.996,0.148372,-0.004803,0.759291
2.0,0.102615,-0.03338,0.742543
2.004,0.093063,-0.033036,0.704262
2.008,0.086009,-0.009172,0.72102
2.012,0.088601,-0.006972,0.723394
2.016,0.095639,0.002018,0.73051
2.02,0.08864,0.006294,0.692132
2.024,0.117025,-0.008377,0.689699
2.028,0.119005,-0.03667,0.63945
2.032,0.064383,-0.036212,0.718543
2.036,0.133095,-0.000655,0.692149
2.04,0.064258,-0.03635,0.696972
2.044,0.114135,-0.028962,0.71615
2.048,0.097451,0.011101,0.718472
2.052,0.059772,0.003482,0.708848
2.056,0.10985,0.010124,0.720759
2.06,0.064919,-0.002147,0.70157
2.064,0.084403,-0.019125,0.675204
