time,ax_lin,ay_lin,az_lin
10.240000,-8.316162,22.291304,10.529917
10.280000,-16.979145,7.836427,10.526393
10.320000,-16.249846,4.022916,10.730812
10.360000,-16.127277,-9.468822,-8.779102
10.400000,-16.007763,-9.259685,-8.664580
10.440000,-15.891259,-9.059211,-8.546147
10.480000,-15.777664,-8.867295,-8.424292
10.520000,-15.666964,-8.683717,-8.299480
10.559999,-15.605871,10.232797,11.296564
10.599999,-15.856817,15.675590,11.263004
10.639999,-13.448231,14.065392,11.453671
10.679999,-13.006889,13.980645,11.661503
10.719999,-12.532073,13.896034,11.923343
10.760000,-14.230262,11.994493,4.624889
10.800000,-7.211129,-16.974504,-15.500612
10.840000,-10.253976,-8.993526,0.349109
10.880000,-10.215351,-8.907058,0.409035
10.920000,-14.101669,-15.032475,-17.441006
10.960000,-14.002434,10.044799,-7.580457
11.000000,-13.708811,-16.774775,12.325663
11.040000,5.022544,-3.808376,6.211678
11.080000,-13.781466,-16.612659,-12.683195
11.120000,-13.768309,-9.775284,11.004330
11.160000,-13.756898,14.391267,12.307477
11.200000,-13.576374,-4.241545,8.465279
11.240000,-13.112588,-4.419293,-3.634939
11.280000,-12.681969,-4.645660,-3.286376
11.320000,-3.877838,8.471475,13.139341
11.360000,-12.766039,-9.428057,13.139169
11.400000,4.075191,-4.963049,12.029802
11.440000,6.830348,15.883958,-15.731682
11.480000,-4.909916,20.772661,12.476295
11.520000,-4.809974,20.559072,12.491043
11.559999,-13.283241,3.076694,12.138892
11.599999,-13.177098,5.526833,-6.978291
11.639999,-9.897394,-16.905787,-7.310455
11.679999,-9.720624,13.850814,12.699174
11.719999,-9.775410,13.847804,12.647716
11.759999,4.494579,-17.198372,12.482829
11.800000,-11.924925,4.746479,13.312231
11.840000,-12.363165,-8.097365,-1.338900
11.880000,-12.522347,-4.086725,-6.728601
11.920000,-12.682250,-3.751724,-6.765920
11.960000,-12.702540,-16.944769,13.198500
12.000000,5.497105,-12.661375,-1.519137
12.040000,8.667499,-16.260864,-13.498117
12.080000,-13.003101,-15.886453,-9.092918
12.120000,-12.981028,-12.151503,-6.240141
12.160000,-13.404908,23.481367,6.705607
12.200000,-13.296058,23.314680,7.712385
12.240000,-5.409343,22.716108,13.016353
12.280000,-5.183595,22.137022,12.998359
12.320000,6.874443,6.145832,12.779396
12.360000,6.736237,6.034639,12.611572
12.400000,-10.738622,21.717274,12.543222
12.440000,-5.104215,18.464460,12.422585
12.480000,-5.147738,18.168402,12.316628
12.520000,-2.566367,-12.901795,-10.626229
12.559999,-13.137249,-0.491119,-13.585135
12.599999,-12.796219,6.864352,11.331111
12.639999,-13.086254,10.522133,12.948056
12.679999,-1.827613,19.379065,13.357473
12.719999,-8.924191,22.181910,13.258259
12.759999,-8.962092,22.046186,13.164048
12.799999,2.914571,21.733833,14.301952
12.840000,-10.037070,14.161767,14.220841
12.880000,-4.366677,8.062058,9.849572
12.920000,-11.850972,-17.736925,3.079619
12.960000,-7.977263,-17.360863,-11.794624
13.000000,-8.052601,-17.017817,-11.750804
13.040000,-12.033520,20.442993,13.905599
13.080000,2.763404,21.464687,9.789450
13.120000,-7.978786,21.968716,13.570971
13.160000,-10.574157,21.792345,13.903758
13.200000,-11.367515,21.841763,13.873922
13.240000,-12.019631,-17.334312,13.853457
13.280000,-12.053375,-17.271841,13.834211
13.320000,-12.086665,-17.210228,13.816130
13.360000,-12.119497,-17.149488,13.799168
13.400000,-12.138387,-8.964358,13.353719
13.440000,-12.271028,-17.192909,-12.049174
13.480000,-12.299563,21.478178,12.919828
13.520000,-9.971858,11.906573,13.611244
